99,100,84,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,71,71
114,115,70,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,70,70
57,71,69,71,-1,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,70,71,69
69,70,56,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,70,71
71,70,71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,71,71
70,71,69,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,71,69
69,71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71,71,69
71,71,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71,71
71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,70,70
71,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,60,71,71
71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,71,69
70,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71
71,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,71
69,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,-1,71,70
71,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71
